CaseName,Val_1,Val_2,Val_3,Val_A,Val_B,Val_C,Val_X,Val_Y,Val_Z,Val_I1,Val_I2,Val_I3
Case 81,0.099202,0.0,0.99132,15.786891,0.66896,15.886093,0.66896,0.00830585,0.0,1.0,1.0,3.0
Case 82,0.121613,0.0,0.988608,15.246197,0.616127,15.367809,0.616127,0.007913,0.0,1.0,1.0,3.0
Case 83,0.0557575,0.002536,0.743049,13.426466857142858,0.616127,13.417872285714283,0.613592,0.003131,0.0033056000000000006,1.0,1.0,3.0
Case 84,0.082641,0.0,0.989704,14.393969,0.616127,14.476609,0.616127,0.005709,0.0,1.0,1.0,3.0
Case 85,0.152645,0.0,0.990438,13.705534,0.676104,13.858179,0.56342,0.011015,0.0,1.0,1.0,3.0
Case 86,0.05217,0.002087,0.992631,13.695101,0.56342,13.642931,0.561334,0.003824,0.0029744000000000003,1.0,1.0,3.0
Case 87,0.122116,0.0,0.7425214285714287,14.49542,0.56342,14.617537,0.6227422857142857,0.008354,0.0,1.0,1.0,3.0
Case 88,0.138281,0.0,0.7398577500000001,14.140558,0.783588,14.278839,0.65299,0.01287972,0.0,1.0,1.0,4.0
Case 89,0.086776,0.0,0.989938,14.837005,0.69229,14.750229,0.69229,0.005883,0.0,1.0,1.0,4.0
Case 90,0.196506,0.002509,0.991939,13.519392,0.599539,13.715898,0.46568339999999997,0.014327,0.0033616,1.0,1.0,2.0
Case 91,0.004181,0.0,0.992287,14.472652,0.7074059999999999,14.468472,0.589505,0.00038437,0.0,1.0,1.0,2.0
Case 92,0.028337,0.002509,0.992719,13.624846,0.622116,13.596508,0.619607,0.002084,0.0032392,1.0,1.0,2.0
Case 93,0.09099,0.0023067,0.989357,14.690495,0.8734919999999999,14.781486,0.725347,0.006156,0.0028272,1.0,1.0,2.0
Case 94,0.23602,0.0,0.991266,15.654226,0.70228,15.843042,0.70228,0.011918,0.0,1.0,1.0,2.0
Case 95,0.032466,0.0,0.991658,14.46665,0.692027,14.499116,0.692027,0.002239,0.0,1.0,1.0,2.0
Case 96,0.150866,0.0,0.74271375,16.905388,0.775864,33.25969335,0.775864,0.008845,0.0,1.0,1.0,3.0
Case 97,0.182981,0.0,0.987293,8.7556935,0.9310368,17.694368,0.775864,0.010341,0.0,1.0,1.0,3.0
Case 98,0.130583,0.0022824,0.990196,18.016806,0.788542,18.147388,0.786006,0.007196,0.0025808000000000003,1.0,1.0,3.0
Case 99,0.004974,0.002985,0.994114,17.796185,0.874556,17.79121,0.67982538,0.00028,0.0027400000000000002,2.0,1.0,3.0
